City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,hermanus,-34.42,19.23,69.01,85,18,11.99,ZA,1579969420
88,mawana,29.1,77.92,54.43,60,38,4.92,IN,1579969420
89,qasigiannguit,68.82,-51.19,-2.2,77,40,3.36,GL,1579969421
90,union,40.63,-74.27,48.0,87,90,4.7,US,1579969345
91,champerico,14.3,-91.92,82.45,59,0,0.6,GT,1579969421
92,svetlyy,54.67,20.13,41.43,84,99,15.28,RU,1579969421
93,nuuk,64.18,-51.72,14.0,56,75,10.29,GL,1579969421
94,rumoi,43.93,141.64,21.16,81,100,19.98,JP,1579969421
95,dekar,-21.53,21.93,82.45,44,90,6.11,BW,1579969421
96,luderitz,-26.65,15.16,67.75,83,0,10.92,NA,1579969421
97,upernavik,72.79,-56.15,-11.33,92,100,5.86,GL,1579969421
98,iqaluit,63.75,-68.51,-25.01,67,20,11.41,CA,1579969422
99,kabanjahe,3.1,98.49,64.67,97,99,0.69,ID,1579969422
100,nikolskoye,59.7,30.79,32.0,70,99,3.0,RU,1579969348
101,tran,42.84,22.65,45.0,67,100,3.02,BG,1579969428
102,ixtapa,20.7,-105.2,73.0,97,100,3.62,MX,1579969428
103,the valley,18.22,-63.06,82.0,68,6,5.99,AI,1579969361
104,methven,-43.63,171.65,60.01,94,77,2.17,NZ,1579969428
105,szczytno,53.56,20.99,38.14,81,100,8.93,PL,1579969428
106,kruisfontein,-34.0,24.73,75.9,64,21,11.54,ZA,1579969428
107,saint-philippe,-21.36,55.77,77.0,83,75,20.8,RE,1579969340
108,kodiak,57.79,-152.41,20.1,80,91,23.06,US,1579969358
109,komsomolskiy,40.43,71.72,42.96,65,100,3.6,UZ,1579969429
110,brookhaven,31.58,-90.44,48.99,93,1,6.93,US,1579969429
111,anadyr,64.75,177.48,1.47,96,100,9.6,RU,1579969429
112,wexford,52.33,-6.46,46.99,83,64,5.01,IE,1579969429
113,nusaybin,37.08,41.22,42.03,42,0,6.55,TR,1579969429
